bohr_id,X,Y,latitude,longitude,dataset
Kirchheilingen_14_1960,4412813.1,5673346.8,51.188430342207184,10.751400208813834,All Points
Kirchheilingen_15_1960,4412088.6,5672293.1,51.17885039813905,10.741297664421193,All Points
Kirchheilingen_20_1960,4405252.7,5677194.6,51.22180366704188,10.642274093521136,All Points
Kirchheilingen_21_1960,4408170.9,5674603.6,51.19899730560243,10.684696576391522,All Points
Kirchheilingen_23_1960,4411141.7,5673001.1,51.18506638423685,10.727584805203168,All Points
Kirchheilingen_2_1960,4410582.3,5674918.8,51.202212225639585,10.719108542856388,All Points
Kirchheilingen_35_1961,4413674.7,5672559.8,51.181488747327734,10.763910261459863,All Points
Kirchheilingen_36_1961,4407529.66,5674411.2,51.19716496107002,10.675574541715125,All Points
Kirchheilingen_4_1959,4407448.2,5676689.6,51.2176257850552,10.673821832025164,All Points
Kirchheilingen_5_1960,4409839.7,5676763.0,51.21866797253524,10.708022881473136,All Points
Kirchheilingen_60_1968,4410409.8,5673305.5,51.18768759314445,10.717043590586114,All Points
Kirchheilingen_61_1968,4409471.5,5674140.7,51.19504509898072,10.703415800939862,All Points
Kirchheilingen_63_1968,4410358.8,5673889.2,51.192924908478304,10.716168636722518,All Points
Kirchheilingen_71_1968,4411911.5,5672953.8,51.18476046013215,10.738603707163389,All Points
Kirchheilingen_72_1968,4409135.4,5674682.7,51.19986230145947,10.698471799412442,All Points
Kirchheilingen_73_1968,4412249.9,5673731.4,51.19180033401902,10.743252487505593,All Points
Kirchheilingen_74_1968,4409824.4,5676277.6,51.21430363443989,10.707925996866864,All Points
Kirchheilingen_79_1968,4411487.0,5672625.0,51.181740172621296,10.732614857357406,All Points
Kirchheilingen_80_1968,4409651.6,5674827.1,51.201241770992276,10.705818828297641,All Points
Kirchheilingen_81_1969,4411001.1,5672731.9,51.18262538666254,10.725641064015697,All Points
Kirchheilingen_83_1969,4410860.9,5673497.8,51.189486186892566,10.723446442900698,All Points
Kirchheilingen_84_1969,4411570.9,5672059.8,51.17667404665505,10.733953510725438,All Points
Krahnberg_14_1965,4404274.7,5650408.16,50.980933759026634,10.63538146048579,All Points
Krahnberg_18_1965,4407479.8,5650945.0,50.986281934104994,10.680871841694996,All Points
Krahnberg_1_1963,4405725.4,5647666.9,50.956538912309526,10.656743522373432,All Points
Krahnberg_2_1963,4406802.9,5648043.5,50.960098469289164,10.671978077406255,All Points
Kuellstedt_2_1966,4376471.4,5684737.63,51.28407131276194,10.227880278657741,All Points
Langensalza_109_1959,4411504.3,5665712.8,51.11962681824486,10.73456139190719,All Points
Langensalza_110_1961,4409819.4,5666110.9,51.122941618024896,10.710403842756845,All Points
Langensalza_112_1961,4409749.4,5667207.5,51.132785064907644,10.709129719608944,All Points
Langensalza_114_1965,4410459.6,5666804.5,51.129275007166825,10.719373385709163,All Points
Langensalza_14_1961,4408731.1,5668526.2,51.14447395928848,10.694251717148793,All Points
Langensalza_18_1958,4406132.15,5670642.3,51.16306936187655,10.656571379492414,All Points
